title,videourl,hoteltype,address,contact,webpage,email,workinghours,workingdays,places,municipality,owner,programm,services,activities,foodplace,spa,others,president,stars,roomsnumber,placenums,checkin,checkout,price,priceseason,manager,director,tags
"ქობულეთი / Kobuleti",,სასტუმრო,"რუსთაველის ქ. №319 გ / Rustaveli st. №319 გ","593 76 34 80 ",,,,,,,,,Wi-Fi,,,,,,,14,40,,,,"ივნისი (ორადგილიანი) - 50 ლარი, ივლისი/აგვისტო (ორადგილიანი) - 80-90 ლარი","მარია დიასამიძე",,
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"რუსთაველის №319 ა / Rustaveli st. №319a","555 88 88 43 / 593 73 51 98 ",,,,,,,,,Wi-Fi,,,,,,,11,48,,,,,"ნანული კარაია",,
"საოჯახო სახლი / Guest House",,"საოჯახო სახლი","ჭავჭავაძის ქ. №9 / Chavchavadze st. №9","599 95 86 05 ",,,,,,,,,Wi-Fi,,,,,,,3,8,,,,"ივნისი - 100$, აგვისტო - 200$","დავით თევზაძე",,
"საოჯახო სახლი / Guest House",,სასტუმრო,"ჭავჭავაძის ქ. №14 / Chavchavadze st. №14","599 95 86 05 ",,,,,,,,,Wi-Fi,,,,,,,2,4,,,,"60 ლარი","დავით თევზაძე",,
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"ჭავჭავაძის ქ. №2 / Chavchavadze st. №2","597 88 86 10",,,,,,,,,Wi-Fi,,,,,,,8,24,,,,"6 ადამიანი - 80-100 $, უბრალო ოთახები - 10 ლარი"," თამარ ჩიხლაძე",,
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"ჭავჭავაძის ქ. №40 / Chavchavadze st. №40","595 60 51 54 ",,,,,,,,,Wi-Fi,,,,,,,8,40,,,,,"მაია მგელაძე",,
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"ჭავჭავაძის ქ. №50 / Chavchavadze st. №50","579 3 00 95  ",,olga19.07.62@mail.ru,,,,,,,Wi-Fi,,,,,,,26,100,,,,,"ოლია სუხიტაშვილი",,
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"ჭავჭავაძის ქ. №30","(0426) 26 80 81 / 593 20 00 67",,,,,,,,,Wi-Fi,,,,,,,3,6,,,,,"ანზორ გოგიშვილი",,
აიეტი/Aeëtes,,სასტუმრო,"აღმაშენებლის ქ.№ 844ა/Agmashenebeli st.№844 a)"," 599 466 417 ",,"g.meladze1@gmail.com /Aeetes1@Gmail.com/www.aeets.ge",,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,ტრანსფერი,ექსკურსიები,ნომერი შეზღუდული შესაძლებლობის პირისთვის,ლიფტი",,,,,,3,50,100,,," - 40$,  დილის საუზმით (2 ადამიანზე)","50$ ორადგილიანი დილის საუზმთ-ივლისი,აგვისტო","სალომე მჭედლიშვილი",,
"ახალი ტალღა/Akhali Talga",,სასტუმრო,"რუსთაველის ქ.№154/Rustaveli st.№154","577 17 79 46 ",,www.kpc.ge/akhalitalgha@gmail.com,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,შინაური ცხოველები დაშვებულია,ავტო გაქირავება,ტრანსფერი,ექსკურსიები,ლიფტი",,,,,,0,20,45,,,"40ლ ერთადგილიანი საუზმით(ივნისი)","80-100ლ ორადგილიანი 100ლ-აგვისტო (საუზმით)"," ლაშა ხახუტაიშვილი ","დავით მჭედლივილი",
ამირანი/Amirani,,სასტუმრო,"26 მაისის ქ.№2,26 May st.№2","599513889 /26 74 50",,,,,,,,,"Wi-Fi,პარკინგი",,,,,,0,25,80,,,"50-ლ ორადგილიანი სამჯერადი კვებით","50-70ლ ორადგილიანი სამჯერადი კვებით","ამირან ვარშანიძე","ამირან ვარშანიძე",
ამიგო/Amigo,,სასტუმრო,"რუსთველის ქ. №205 ბ) ტაბიძე №4-6/Rustaveli st. №205 b) Tabidze st.№4-6","26-67-93/ 597-44-04-22",,go707@mail.ru,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,შინაური ცხოველები დაშვებულია,ავტო გაქირავება,ტრანსფერი,ექსკურსიები",,,,,,2,27,70,,,"70ლ-ორადგილიანი-ივნისი (საუზმით)","90ლ-ორადგილიანი-ივლისი,გვისტო 150ლ-სამადგილიანი","მამუკა აფხაზავა","მამუკა აფხაზავა",
ბელგრადი/Belgrad,,სასტუმრო,"რუსთაველის ქ .№ 170 ბ)/Rustaveli st.№ 170 b)","55716 33 69/ 568155086",,"belaglonti1@ mailru",,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი",,,,,,0,21,50,,,"არ მუშაობს","130ლ ორადგილიანი( საუზმით) 10ლ ორჯერადი კვება","ბელა წულუკიძე","ბელა ღლონტი",
"ბლექსი/Black sea",,სასტუმრო,"თამარ მეფის ქ.№90/tamar mephe st.№90","599577313/ 599440413",,www.davisvenot.ge,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი",,,,,,0,12,37,,,"60-70ლ ორადგილიანი(კვების გარეშე) ივნისი","80$ორადგილიანი-სამჯერადი კვებით (ივლისი აგვისტო)","რევაზ ბეჟანიძე","რევაზ ბეჟანიძე",
"გარდენია პალასი/Gardenia Palace",,სასტუმრო,"აღმაშენებლის ქ.№.353/Agmashenebeli st.№353",571777797,,www.hotelgardeniapalace.com,,,,,,,"Wi-Fi,პარკინგი",,,,,,,15,40,,,"100ლ ორადგილიანი ივნისი(საუზმით)","150ლ ორადგილიანი ივლისი,აგვისტო საუზმით) +40ლ სამადგილიანი ","შორენა სიხმაშვილი","შორენა სიხმაშვილი",
"გარდენ ინნ/Garden inn",,სასტუმრო,"აღმაშენებლის ქ.№418/Agmashenebeli st.№418","595 00 45 00",,,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი",,,,,,0,7,17,,,,"100 ივლისი-ორადგილიანი  120-130ლ-ორადგილიანი  აგვისტო","ავთანდილ გუნთაიშვილი","ავთანდილ გუნთაიშვილი",
"გოლდ ჰაუზი/Gold House ",,სასტუმრო,"აღმაშენებლის ქ.№378/Agmashenebeli st.№378","577 31 11 88",,,,,,,,,"საკრედიტო ბარათით სარგებლობა,პარკინგი",,,,,,0,15,60,,,"1 პერსონა- 25 ლარი (კვების გარეშე) 1 პერსონა,,  35ლ სამჯერადი კვებით-ივნისი,","1 პერსონა 45ლ სამჯერადი კვებით ივლისი,აგვისტო","ნანა გოდერძიშვილი","ნანა გოდერძიშვილი",
"გოლდენ ბიჩ/Golden Beach",,სასტუმრო,"აღმაშენებლის ქ№303/Agmashenebeli st.№303",568150737,,booking.com,,,,,,,"Wi-Fi,პარკინგი",,,,,,0,33,123,,,"40 ორადგილიანი-მაისი","120-ივლისი საუზმით","თამაზ კახიძე","თამაზ კახიძე",
გიო/Gio,,სასტუმრო,"მწვანე კონცხი, ბაღის ქ.№10/Green Cape,Bagi st.№10","577 40 47 47 /599 177789 /568606062",,http://hotelgio.ge//info@hotelgio.ge,,,,,,,"Wi-Fi,პარკინგი",,,,,,4,30,80,,,"50ლ ორადგილიანი(ივნისი)","2 ადგილიანი ნომერი - 70-80 ლა/  105 ლარი (აგვისტო) 3 ადგილიანი ნომერი - 145 ლარი",,,
"გრინჰაუზი/Green House",,სასტუმრო,"თამარ მეფის ქ.№8/Tamar mephe st.№8","593-79-28-22 /599262978",,www.greenhousehotel.ge/natukel100@mail.ru,,,,,,,"Wi-Fi,პარკინგი,შინაური ცხოველები დაშვებულია,ლიფტი",,,,,,0,26,52,,,"მაისი 40ლარი 30-40ლ ორადგილიანი  "," 70- 90 ლარი  ივლისი-აგვისტო","ნატო შოშიტეიშვილი",,
დიანა/Diana,,სასტუმრო,"აღმაშენებლის  ქ.№476/Agmashenebeli st.№476","591810800 / 555507484-ოსკანი",,"dinora@e1.ru/ zaza.qatamadze.77@mail.ru",,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,ლიფტი",,,,,,0,43,110,,,"25ლ ერთი ადამიანი(ოქტომბერი-მაისი) 35ლ ერთი ადამიანი კვებით(ოქტომბერი მაისი) 40$ ორადგილიანი ივნისი","50$ ორადგილიანი(საუზმით) 65$ ორადგილიანი(საუზმით) 75$ სამადგილიანი( საუზმით) 15$-სადილი ვახშამი","ოსკანი/იჯარით აიღო სომხურმა კომპანიამ","ზაზა ქათამაძე",
დავითი/David,,სასტუმრო,"ჩაქვი,რუსთაველის ქ.№3/Chakvi,Rustaveli st .№3",591717161,,,,,,,,,"Wi-Fi,პარკინგი",,,,,,0,8,16,,,"50ლ ორადგილიანი","70ლ ორადგილიანი(ზღვის ხედით) 150ლ ლუქსი(ზღვის ხედით, მისაღები,საძინებელი,სამზარეულო,აბაზანა)","ციური დიასამიძე","ციური დიასამიძე",
დავითი/David,,სასტუმრო,"დ.აღმაშენებლის ქ.№337/Agmasheneblis st.№337",595-19-19-92:,,www.georgiansea.com,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,შინაური ცხოველები დაშვებულია,ტრანსფერი,ნომერი შეზღუდული შესაძლებლობის პირისთვის",,,,,,0,13,40,,,"30-35ლ-ორადგილიანი(ზამთარი) ორადგილიანი 40ლ (ივნისი) ","ორადგილიანი 50-60ლ/სამადგილიანი 150-200ლ ","დავით ვერულიძე","დავით ვერულიძე",
"დავით ამბარიანი/David Ambariani",,სასტუმრო,"კოსტავას ქ.№37/Kostava st.№37","599 92 29 52",,,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი",,,,,,0,20,80,,,"40ლ-დან ორადგილიანი","60-80ლ ივლისი,აგვისტო","დავით ამბარიანი","დავით ამბარიანი",
"დრიმ ლენდ ოაზისი/Dreamland Oazis",,სასტუმრო," ჩაქვი ბათუმის ქ.№16/Chakvi batumi st.ქ.№16","032 247 22 33 /032 247 00 11/592 29 60 60  /592 84 72 72",,"http://hoteloasis.ge/ www.dreamlandoazis.ge/E.mail:  info@hoteloasis.ge Shota.lobzhanidze@dreamland.ge",,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,არამწეველთა ოთახები,ავტო გაქირავება,ტრანსფერი,ექსკურსიები,ნომერი შეზღუდული შესაძლებლობის პირისთვის,ლიფტი",,,,,,5,155,500,,,"ფასები დაბალ სეზონზე ოტომბერი-მაისი: FBP-სრული პანსიონი +დღგ-სამჯერადი კვებით 89$ ერთადგილიანი,105$-ორადგილიანი BBP-საუზმე +დღგ 71$ ერთადგილიანი,87$ ორადგილიანი B- მხოლოდ განთავსება 64$ ერთადგილიანი,80$ ორადგილიანი 5  წლამდე ბავშვებისთვის უფასო კვება,6-11","ივნ,ივლ,აგვისტო სამჯერადი კვებით დღგ: სტანდარტ ერთადგილიანი:110-170-200$,ორადგილიანი:160-170-200$. დელუქსი ერთადგილიანი:120-190-220$ ორადგილიანი:180-190-220$ Suite ერთადგილიანი:210-300-350$ ორადგილიანი:180-190-220  Superior suite-ორადგილიანი-190-200-230$,","ირინა ზვენკოვა",,
დეჟავუ/Dejavu,,სასტუმრო,"რუსთაველის №254 დ)/Rustaveli st.№254","599 53 58 83",,"Fasebook.com /De Javu Hotel",,,,,,,"Wi-Fi,პარკინგი",,,,,,0,8,30,,,"20ლ-1 პერსონა ივნისი,სექტემბერი","30ლ-1 პერსონა ივლისი,აგვისტო","ლელა მაღრაძე","ლელა მაღრაძე",
დანი/Dani,,სასტუმრო,"აღმაშენებლის ქ. №302/Agmashebebeli st.№302",592388008,,,,,,,,,"Wi-Fi,პარკინგი",,,,,,0,20,50,,,"არ მუაშაობს","25ლ ერთი ადამიანი კვების გარშე","როლანდ აბრამიანი(ნაქირავები აქვს სომეხს)","როლანდ აბრამიანი",
ელკოპა/Elkopa,,სასტუმრო,"თამარ მეფის ქ. №96/Tamar Mephe st.№96","599107973/ 571386738",,,,,,,,,"Wi-Fi,პარკინგი",,,,,,0,12,25,,,"არ მუშაობს","2 ადგილიანი - 60 ლარი 3 ადგილიანი  - 90 ლარი 2 ადგილიანი ლუქსი- 100 ლარი",,,
ედემი/Edem,,სასტუმრო,"აღმაშენებლის ქ.№468 ა)/Agmashenebeli st.№468 a)","599 10 83 08 /595 85 85 45",,Turismbsw@mail.ru,,,,,,,"Wi-Fi,პარკინგი,საუზმე",,,,,,0,22,40,,,"40ლ ორადგილიანი(მაისი,ივნისი)","60 -ორადგილიანი (ივლისი)  80-100ლ აგვისტო კვება15-20ლ","რატი მეგრელიძე","რატი მეგრელიძე",
ელდორადო/Eldorado,,სასტუმრო,"აღმაშენებლის ქ.№514/Agmashenebeli st.№514","599 10 16 10 ",,eldorado@mail.ru/Booking.com,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე",,,,,,0,16,50,,,"30ლ ორადგილიანი-(ივნისი)","50ლ ორადგილიანი(ივლისი) 60 ლარი ორადგილიანი(აგვისტო) + 20 ლარი კვებით","მარინა ჯინჭარაძე",,
"ზღვის მარგალიტი/ Pearl of The Sea ",,სასტუმრო,"თამარ მეფის ქ.№42/Tamar Mephe st.№42","555 04 55 00/599150565",,trl.kobuleti.com,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,ლიფტი",,,,,,4,44,120,,," 42-72-90$ -სტანდარტეკონომი ქალაქის ხედით 48-96-120$ -აუზის ხედით,56-105-130$ -ზღვის ხედით.(ივნისი,ივლისი,აგვისტო) 70-145-180$-ლუქსი ზღვის ხედით 62-120-150$-ლუქსი აუზის ხედით 56-105-130$-ლუქსი მთის ხედით შედის +7$საუზმე 1ადამიანზე"," 42-72-90$ -სტანდარტეკონომი ქალაქის ხედით 48-96-120$ -აუზის ხედით,56-105-130$ -ზღვის ხედით.(ივნისი,ივლისი,აგვისტო) 70-145-180$-ლუქსი ზღვის ხედით 62-120-150$-ლუქსი აუზის ხედით 56-105-130$-ლუქსი მთის ხედით შედის +7$საუზმე 1ადამიანზე","მაია მესხი",,
"ზღვის ნიჟარა/Zgvis Nijara",,სასტუმრო,"რუსთაველის ქ.№224/Rustaveli st.№224",593387755,,,,,,,,,"Wi-Fi,პარკინგი",,,,,,0,20,50,,,"30-40ლ ორადგილიანი","30-40ლ ორადგილიანი","ირმა გოგიტიძე",,
"თეთრი ეტლი/Tetri etli",,სასტუმრო,"აღმაშენებლის ქ.№528/Agmashenebeli st.№528","577 10 24 45/593 34 14 31",,"www/facebook.com /kobuleti hotels",,,,,,,"Wi-Fi,პარკინგი",,,,,,0,31,80,,,"15$ლ ერთი ადამიანი სამჯერადი კვებით 15$-17$ ერთი ადამიანი სამჯერადი კვებით 38ლ","20$-25$ ერთი ადამიანი სამჯერადი კვებით (ივლისი,აგვისტო)","ბადრი ჯაფარიძე","ბადრი ჯაფარიძე",
"იასამნისფერი სასტუმრო/Iasamnispheri Sastumro",,სასტუმრო,"აღმაშენებლის №458/Agmasheblis №458","599 96 36 83",,"facebook.com iasamnisferi sastumro",,,,,,,Wi-Fi,,,,,,0,11,40,,,"30-50ლ ორადგილიანი","30-50ლ ორადგილიანი","იზოლდა კუკულაძე","იზოლდა კუკულაძე",
"იკა /Ika",,სასტუმრო,"აღმაშენებლის ქ. №472/Agmashenebeli st.№472","599 26 31 80",,xatuna-meladze@mail.ru,,,,,,,"Wi-Fi,პარკინგი,საუზმე,შინაური ცხოველები დაშვებულია,ტრანსფერი",,,,,,,24,48,,,"30ლ ორადგილიანი","40-70ლ-ორადგილიანი (კვება 15ლ)","დათო ტაკიძე",,
ირისე/Irise,,სასტუმრო,"აღმაშენებლის ქ.№116/Agmashenebeli st.№116","599 11 78 66",,infoirise@mail.ru/www.hotelirise,,,,,,,"Wi-Fi,პარკინგი,ლიფტი",,,,,,0,42,80,,,"ნომერი 2 პერსონაზე (სტანდარტული) -  30$-ივნისი(საუზმით)","20$ ერთი ადამიანი-დილის საუზმით(ივლისი) 25$ ერთი ადამიანი-დილის საუზმით(აგვისტო) 10$ კვება","დალი გოგიტიძე","ტარიელ კაცაძე",
ილია/Ilia,,სასტუმრო,"თამარ მეფის ქ.№126/Tamar mephe st.№126","568 00 13 44/ 595360075 ",,maiakharazi@mail.ru,,,,,,,"Wi-Fi,პარკინგი",,,,,,0,9,20,,," 70-80-ორადგილიანი(ივნისი) 100ლ-ოროთახიანი ლუქსი","100-120ლ-ორადგილიანი(ივლ) 100$-ორადგილიანი(აგვისტო) 150-200ლ-ოროთახიანი ლუქსი","ნინო ხარაზი ","ჯამბული ნოღაიდელი",
"ინგა ჯიჯავაძე/Inga Djidjavadze",,სასტუმრო,"აღმაშენებლის ქ№382 ბ)/Agmashenebeli st.№382 b)",555-72-77-17,,,,,,,,,"Wi-Fi,პარკინგი,შინაური ცხოველები დაშვებულია",,,,,,0,18,60,,,"35-40ლარი ივნისი 60-70 ლ ორადგილიანი ივნისი","80ლ ორადგილიანი ივლისი-აგვისტო","ინგა ჯიჯავაძე","ინგა ჯიჯავაძე",
"კასტელო მარე /Castello Mare ",,სასტუმრო,"სოფ.ციხისძირი/Village Tsikhisdziri","0422212828/591228521 /591382828/591 12 28 28/",,"www.castellomare.com  /info@castellomare,com/ sales@castellomare,com",,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,არამწეველთა ოთახები,ტრანსფერი,ექსკურსიები,ლიფტი",,,,,,5,110,220,,,"Standard Room Diana-  -165- 175- 185  Premium Suite Diana - 225- 245- 265   HoneymoonSuite Diana - 200 - 250  Family Suite Diana - 250 , Junior Suite Diana -  600  Accessible  Suite Victoria-  185- 195- 215   Garden Suite Victoria -- 175- 185- 195  Panora","Standard Room Diana-  -165- 175- 185  Premium Suite Diana - 225- 245- 265   HoneymoonSuite Diana - 200 - 250  Family Suite Diana - 250 , Junior Suite Diana -  600  Accessible  Suite Victoria-  185- 195- 215   Garden Suite Victoria -- 175- 185- 195  Panora","სასტუმროს მართვის და მომსახურების დეპარტამენტის უფროსი: ვაკო კუვშინოვი"," დირექტორის მოადგილე: ზანდა მესხიძე",
კოკა/Koka,,სასტუმრო,"აღმაშენებლის ქ.№770/Agmashenebeli st.№770","597 50 62 64/ 599 50 62 64",,,,,,,,,"Wi-Fi,პარკინგი",,,,,,0,20,50,,,"არ მუშაობს","25ლ- ერთი ადამიანი  სამჯერადი კვებით(5 ადამიანზე  საერთო აბაზანით) 15$ ერთი ადამიანი 4ადგილიან ლუქსში სამჯერადი კვებით","კობა კაკალაძე","კობა კაკალაძე",
კიპარისი/Kiparisi,,სასტუმრო,"აღმაშენებლის ქ. №218/Agmashenebeli st.№218",591449988,,hotelkiparisi.ge/hotel.kiparisi@gmail.com,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,ლიფტი",,,,,,0,64,180,,,"70-60 ლარი სტანდარტული ორ ადგილიანი ნომერი საუზმის გარეშე-(ზამთარი) 110ლ-ორადგილიანი (ივნისი)","140ლ-ორადგილიანი (ივლისი) 170ლ -აგვისტო(საუზმის გარეშე) 180-255ლ-ოთხადგილიანი დელუქსი-აგვისტო25ლ -სამჯერადი კვება",,,
კენტი/Kent,,სასტუმრო,"აღმაშენებლის ქ.№365/Agmashenebeli st.№365","599 15 07 25      ",,b.baladze@gmail.com,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე",,,,,,0,18,50,,,"200-235-275ლ-გაუმჯობესებული ორადგილიანი, აივნით და ზღვის ხედით(ივნ,ივლ,აგვისტო) 350ლო-რადგილიანი აუზით,აივნით,ზღვის ხედით(ივნ,ივლ,აგვისტო), 235-250ლ-სტანდარტული ორადგილიანი(ივნ,ივლ,აგვისტო) 330ლ-სამადგილიანი ზღვის ხედით 225-278 გაუმჯობედებული ნომერი ორი ც","200-235-275ლ-გაუმჯობესებული ორადგილიანი, აივნით და ზღვის ხედით(ივნ,ივლ,აგვისტო) 350ლო-რადგილიანი აუზით,აივნით,ზღვის ხედით(ივნ,ივლ,აგვისტო), 235-250ლ-სტანდარტული ორადგილიანი(ივნ,ივლ,აგვისტო) 330ლ-სამადგილიანი ზღვის ხედით 225-278 გაუმჯობედებული ნომერი ორი ც","ბადრი ბალაძე","ბადრი ბალაძე",
"კრისტალ  ჯიბი ჰოტელ/Kristal GB Hotel",,სასტუმრო,"9 აპრილის ქ.№33/9 April st.№33","571 90 29 28",,www.cristalgbhotel.ge/manager@cristalgbhotel.ge,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი",,,,,,0,25,65,,,"ივნისი;2 ადგილიანი სტანდარტული  - 40 $  2 ოთახიანი (1 საძინებელი + სალონი) – 50 $ 2 ოთახიანი ლუქსი (1 საძინებელი + სალონი + ტერასიდან ხედით) – 60 $","1 ივლისიდან-31 აგვისტომდე 2 ადგილიანი სტანდარტული  - 50  $ 2 ოთახიანი (1 საძინებელი + სალონი) – 70 $ 2 ოთახიანი ლუქსი (1 საძინებელი + სალონი + ტერასიდან ხედით) – 80 $ 3 ოთახიანი (2 საძინებელი + სალონი) – 100  $ 3 ადგილიანი (1 დიდი საძინებელი) –  65 $","დავით ბარამიძე",,
"ჯიბი ჰოტელი/GB hotel",,სასტუმრო,"თამარ მეფის ქ.№36/Tamar Mephe st.№36","557 59 94 20",,o.esebua@yahoo.com,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,არამწეველთა ოთახები,ლიფტი",,,,,,4,26,62,1894392000,,"40$ ორადგილიანი-ივნისი","50$ ორადგილიანი(საუზმით) 170-190ლ ორადგილიანი-ზღვის ხედით","დავით ბარამიძე",,
კახეთი/Kakheti,,სასტუმრო,"აღმაშენებელის ქ.№86/Agmashenebeli st.№86","599 17 13 87/ 598 76 89 42 ",,"ananidze-91@mail.ru /gogashvili_manana@yahoo.com",,,,,,,"Wi-Fi,პარკინგი,საუზმე,შინაური ცხოველები დაშვებულია,ტრანსფერი",,,,,,0,28,80,,,"70ლ ივნისი ორადგილიანი საუზმით","100-150ლ ივლისი აგვისტო კვება შეთანხმებით","მანანა გოგაშვილი",,
კონდორი/Kondori,,სასტუმრო,"აღმაშენებელის ქ.№280/Agmashenebeli st.№280","599 22 22 28/599 01 67 00",,"www.kondori.ge/info@kondori.ru/ hotel-condori@mail.ru",,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,ექსკურსიები",,,,,,0,32,64,,,"არ მუშაობს","230 ლ  ორადგილიანი- ივლისი (საუზმით) 330 ლუქსი 240ლ  ორადგილიანი- აგვისტო (საუზმით) 340ლუქსი","გიორგი სეხნიაშვილი",,
ლოვე/Love,,სასტუმრო,"აღმაშენებელის ქ.№628/Agmashenebeli st.№628",574702117,,,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi",,,,,,0,10,40,,,"50-60ლ ორადგილიანი  20ლ სამჯერადი კვება 10 ლ საუზმე","50-60ლ ორადგილიანი  20ლ სამჯერადი კვება 10 ლ საუზმე","ნაზი ბაუჟაძე",,
"მწვანე სასტუმრო/Green Hotel",,სასტუმრო,"აღმაშენებლის ქ.№408/Agmashenebeli st.№408",558994311,,,,,,,,,"Wi-Fi,პარკინგი",,,,,,0,16,65,,,"არ მუშაობს","15ლ ივნისი-ერთი ადამიანი(კვების გარეშე) 20ლ ივლისი- ერთი ადამიანი 25-30ლ აგვისტო-ერთი ადამიანი 10ლ-კვება","ეკა გორგილაძე",,
პალმა/Palma,,სასტუმრო,"ჩაქვი, ბათუმის ქ.№10 /batumi st. №10","599 74 97 45",,,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,ექსკურსიები",,,,,,,12,30,,,,"40$ ორადგილიანი (მაისი) (ორჯერადი  კვებით) 60$ ორადგილიანი (ივნისი) 80$-100$ ორადგილიანი (ივლისი,აგვისტო)","ჯაბა ბერიძე",,
პანორამა/Panorama,,სასტუმრო,"თამარ მეფის ქ.# №6ა / Tamar mephe st.№6 a","557 38 32 02",,"panorama.kobuleti@gmail.com ; www.panoramakobuleti.ucoz.net",,,,,,,"Wi-Fi,პარკინგი,შინაური ცხოველები დაშვებულია,ტრანსფერი,ლიფტი",,,,,,,41,84,,,,"50ლ-ივნისი- (80ლ -ივლისი-ორადგილიანი კვების გარეშე) 100-150ლ-ივლისი-აგვისტო- ორადგილიანი სამჯერადი კვებით","როინ ზაქარიაძე",,
რენასი/Reness,,სასტუმრო,"აღმაშენებლის ქ. №108/Agmashenebeli st. №108",558700010;591637008,,,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი",,,,,,,28,56,,,,"45$ ივნისი აივნით(საუზმის გარეშე) 50$  ივლისი-აგვისტო აივნით(საუზმის გარეშე) 40-45-50$ -ორადგილიანი აივნის გარეშე სტანდატრული ორადგილიანი","ქეთი მურადოვა",,
რიტა/Rita,,სასტუმრო,"რუსთაველის №249გ/Rustavli st. №249g","555 67 40 85",,,,,,,,,"Wi-Fi,ტრანსფერი,ექსკურსიები",,,,,,,16,40,,,,"25ლარი ერთი ადამიანი.აქვთ 2,3,4-ადგილიანი ნომრები საკუთარი სველი წერტილებით,ტელევიზორი,კონდიციონერი","ოლეგ პაკელიანი",,
რესანტა/Resanta,,სასტუმრო,"კოსტავას ქ.№27/Kostava st.№ 27","598 55 07 55",,,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,საუზმე,ექსკურსიები",,,,,,,22,70-80,,,,"50ლ ივლისი ორადგილიანი","გიორგი ჯიბლაძე",,
რივიერა/Riviera,,სასტუმრო,"აღმაშენებლის ქ. №388/Agmashenebeli st. №388","555 08 64 64",,,,,,,,,"Wi-Fi,პარკინგი",,,,,,,18,45,,,,"30-40ლ ორადგილიანი 60ლ სამადგილიანი","ნუგზარ კუტუბიძე",,
სმაკი/Smak,,სასტუმრო,"აღმაშენებლის ქ. №488/Agmashenebeli st. №488",598359359,,,,,,,,,"Wi-Fi,პარკინგი",,,,,,,,,,,,"30ლ ორადგილიანი (ივნისი) 40ლ ორადგილიანი(ივლისი) 60ლ ორადგილიანი(აგვისტო) სამადგილიანი 40ლ-ივნისი 50ლ-ივლისი,70ლ-აგვისტო.","ქეთევან გოგიტიძე",,
"გიორგის გესთჰაუზი/guest house giorgi",,"საოჯახო სახლი","თამარ მეფის ქ. №50/tamar mephe str.№50","577261126 ",,,,,,,,,"Wi-Fi,პარკინგი",,,,,,,10,30,,,,"40$ ორადგილიანი",," გიორგი ხინიკაძე/giorgi khinikadze",
"გესთჰაუზი ,,ლილიანა&quot;/guest house &quot;liliana&quot;",,"საოჯახო სახლი","თამარ მეფის ქ. №54/tamar mephe str. №54",568808093,,,,,,,,,"Wi-Fi,პარკინგი",,,,,,,8,35,,,"30-40ლ სამადგილიანი","30$-სამადგილიანი ივლისი; 50-55$ სამადგილიანი გვისტო",,"ირინა გოგიტიძე/irina gogitidze",
"სასტ.ტიპის სახლი/guest house",,"საოჯახო სახლი","თამარ მეფის ქ. №134/tamar mephe str.№134",599-23-13-32,,,,,,,,,"Wi-Fi,პარკინგი",,,,,,,10,20,,,,"ფასი შეთანხმებით",,,
"სას.ტიპის სახლი/guest house",,"საოჯახო სახლი","თამარ მეფის ქ. №311/tamar mephe str.  №311","558904343 ",,,,,,,,,"Wi-Fi,პარკინგი,საუზმე",,,,,,,18,43,,,,"20-25-30ლ ერთ ადამიანი  (ივნისი,ივლისი, აგვისტო) 15ლ კვება ",,"მეგი  მეგრელიძე/megi megrelidze",
