title,videourl,hoteltype,address,contact,webpage,email,workinghours,workingdays,places,municipality,owner,programm,services,activities,foodplace,spa,others,president,stars,roomsnumber,placenums,checkin,checkout,price,priceseason,manager,director,tags
"გრანდ როიალ აპარტამენტი/GRAND ROYAL APPARTMENT",,სასტუმრო,"&quot; ხიმშიაშვილის ქ. /KHIMSHIASHVILI №15დ  16, 17,18 სართულები/STAIRS (ორბი &quot;&quot;sea tower&quot;&quot;)&quot;","&quot;(0422) 20 00 34 (0422) 20 00 35 790 20 04 96 &quot;",,"gr.batumi@gmail.com ",,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,შინაური ცხოველები დაშვებულია,არამწეველთა ოთახები,ტრანსფერი,ექსკურსიები,ლიფტი",,რესტორანი,,"ზღვასთან ახლოს","საპრეზიდენტო ნომერი არ აქვთ",,4,40,,,"&quot;ერთ/ორ ადგ: 130&quot;","&quot;ერთ/ორ ადგ: 190&quot;","&quot;მენეჯერი:  აბრაჰამ ირანეჟადი-514 560606&quot;",,100
გრინდორ/GREENDOOR,,სასტუმრო,"მემედ აბაშიძის #48","&quot;574 09 37 03 593 45 66 02;  555 26 72 62&quot;",,hostelbatumelebi@gmail.com,,,,,,,,,,,,"საპრეზიდენტო ნომერი არ აქვთ",,3,16,,,,"&quot;ერთ.ადგ 40ლ. სტანდარტული -90ლ. &quot;","&quot;მენეჯერი : კახა გურგენიძე-  574 09 37 03&quot;",,
ფრენდლი/Friendly,,ჰოსტელი,"გორგასალის ქ. №5 / Gorgasali St.№5 ","574 33 01 33 /597 82 00 22 ",,,,,,,,,"Wi-Fi,პარკინგი,საუზმე,ავტო გაქირავება,ტრანსფერი",,კაფე,,,"არ აქვთ ",,3,35,,,,"ერთ/ორ ადგ: 80/100",,,
"ფერიდე / Feride",,სასტუმრო,"ამაღლების ქ.  №9 / Amagleba St. №9 ","(0422) 25 45 86 / 593 90 43 60",,,,,,,,,,,,,,,,9,,,,,,,,
"გრინ ვილა/GREEN VILLA",,სასტუმრო,"კოსტავას ქ. /KOSTAVA ST.№13","&quot;(0422) 22 51 90 579 97 75 77&quot;",,Green.villa@mail.ru,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,შინაური ცხოველები დაშვებულია",,,,,"საპრეზიდენტო ნომერი არ აქვთ",3,10,25,,,"&quot;ერთ ადგ:35 ორ ადგ: 45-50&quot;","&quot;ერთ/ორ ადგ: 120-170 &quot;","მენეჯერი : მზია ფუტკარაძე",,
"ფრიდომ ჰოსტელ ბათუმი / Freedom Hostel Batumi",,ჰოსტელი,"ანგისის  ქ. №66 / Angisa St. №66 ","557 73 81 12",,,,,,,,,,,,,,"არ აქვთ",,,,,,,"ერთ/ორ ადგ: 40",,,
"ქეშ / Cash",,ჰოსტელი,"კოსტავას ქ. №23 / Kostava St. №23","597 07 11 33",,,,,,,,,,,,,,,,8,25,,,,"ერთ ადგ: 20",,"არლურ -597 07 11 33",
გოგა/GOGA,,სასტუმრო,"ალექსანდრე ჩხაიძის ქ. /A.CHKHAIDZE ST.№48","595 19 81 08",,ini-georgia@mail.ru,,,,,,,Wi-Fi,,,,,"საპრეზიდენტო ნომერი არ აქვთ",2,7,15,,,"&quot;ერთ/ორ ადგ: 20-25-30&quot;","&quot;ერთ/ორ ადგ: 40&quot;"," მენეჯერი: ლელა ფაღავა -593 85 50 50"," დირექტორი: ლამარა ბიბილაშვილი -595 19 81 08",
"გოლდენ სტარ/GOLDEN STAR ",,სასტუმრო,"ზუბალაშვილის ქ. /ZUBALASHVILI ST.№13","&quot;(0422) 27 81 60  &quot;",,Goldenstar.ge@gmail.com,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,შინაური ცხოველები დაშვებულია,არამწეველთა ოთახები,ავტო გაქირავება,ექსკურსიები,ნომერი შეზღუდული შესაძლებლობის პირისთვის",,კაფე,,"ზღვასთან ახლოს","საპრეზიდენტო ნომერი არ აქვთ",3,23,50,,,"&quot;ერთ/ორ ადგ: 80-100&quot;","&quot;ერთ/ორ ადგ: 130-150&quot;","&quot;ხათუნა გურგენიძე: 577 43 53 43&quot;",,
"ქარავანი / Qaravani",,სასტუმრო,"პუშკინის ქ.  №49 / Pushkini St. №49","(0422) 220691/ 555 03 10 70",,hotelqaravani@yahoo.com,,,,,,,Wi-Fi,,,,," არ აქვთ",2,5,12,,,"ერთ/ორ ადგ: 40-50","ერთ ადგ:80 ორ ადგ:100","გულნარა თურმანიძე",,
"ქრისტინა / Kristina",,სასტუმრო,"ბაგრატიონის ქ.№67 / Bagrationi St.№N67","555 70 03 82",,,,,,,,,Wi-Fi,,,,,,,10,30,,,"ერთ ადგ: 50/ორ ადგ: 50","ერთ.ადგ60-80 /ორ ადგ.80-100"," ნინო ხოზრევანიძე - 555 700 382",,
"შერატონი / Sheraton",,სასტუმრო,"რუსთაველის ქ.  №28  / Rustaveli St.  №28  ","(0422) 22 90 00 / 597 81 88 38",,"www.sheratonbatumi.com / info@sheraton.com/batumi",,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,საუზმე,შინაური ცხოველები დაშვებულია,ნომერი შეზღუდული შესაძლებლობის პირისთვის",,"რესტორანი,ბუფეტი","დახურული აუზი,ღია აუზი,ჰამამი,მასაჟი","კერძო პლიაჟი,ზღვასთან ახლოს,საკონფერენციო დარბაზი","აქვთ 1 ნომერი",5,202,400,,,"ერთ ადგ:130$ (საუზმის გარეშე) 150$საუზმით. +18%დღგ /ორ ადგ: 175 $ + 18% დღგ","ერთადგ175 +18$ დღგ/ ორ ადგ:235+18%",,"ირაკლი მახარაძე ",
"შავი ზღვის მარგალიტი / Black Sea Pearl",,სასტუმრო,"ანგისის ქ.  №65ა / Angisa St. №65a"," (0422) 21 88 44 / 593 55 55 40",,www.hotelblackseapearl.com,,,,,,,,,რესტორანი,,"ზღვასთან ახლოს","არ აქვთ",3,33,60,,,"ერთ/ორ ადგ: 60","ერთ ადგ:100 ორ ადგ:120 საუზმით","ირაკლი მახარაძე-593 55 55 40 ",,
"ჩვენებურები / Chveneburebi",,სასტუმრო,"პუშკინის  ქ.  №156 / Pushkini St. №156","593 23 04 15",,,,,,,,,,,,,,"არ აქვთ",,,,,,,,,,
"ჩილაუთი/ Chillout",,ჰოსტელი,"ფარნავაზ მეფის ქ. №133 / Parnavaz Mepe St.№133","555 52 67 62",,chilloutbatumi@gmail.com,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი",,,,"ზღვასთან ახლოს",,,2,6,,,,"ერთ ადგ-25/30","გიორგი მალუტაშვილი - 555 52 67 62",,
"ჩაო / Chao",,სასტუმრო,"გორგილაძის ქ.  №75 / Gorgiladze St. №75","(0422) 22 24 00",,info@hotelchao.ge/www.hotelchao.ge,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,საუზმე,ტრანსფერი,ლიფტი","მაგიდის ტენისი",რესტორანი,ფიტნესი,"ზღვასთან ახლოს,საკონფერენციო დარბაზი","არ აქვთ",3,29,60,,,"ერთ ადგ:80 /ორ ადგ:120 (საუზმით)","ერთ ადგ:120/ ორ ადგ:160","თამაზი მახარაძე- 599 55 50 75 ",,
"ჩვენი სახლი / Cheni Saxli ",,სასტუმრო,"წერეთლის ქ.  №34/36 / Tsereteli St.  №34/36"," 591 71 48 85 / 551 00 61 76",,,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,საუზმე,არამწეველთა ოთახები,ლიფტი",,,,"ზღვასთან ახლოს","არ აქვთ",3,24,50,,,"ერთ ადგ:60 ორ ადგ: 80-100-120 (საუზმე)","ერთ/ორ ადგ: 100-130-150","დავით ლომიძე -591 71 48 85",,
"ცხრამეტი /  Hotel 19 (Sea Towers Batumi Apartments)",,სასტუმრო,"შ.ხიმშიაშვილის ქ.  №15 / SH.Khimshiashvili St. №15","593 05 19 19 /593 13 19 19",,info@hotel19.com/www.hotel19.ge,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,საუზმე,შინაური ცხოველები დაშვებულია",,"რესტორანი,კაფე,ბარი,ბუფეტი","დახურული აუზი,ღია აუზი,სპა,საუნა","ზღვასთან ახლოს,ბიზნეს შეხვედრების ორგანიზება,საკონფერენციო დარბაზი","არ აქვთ",,18,30,,,"ერთ/ორ ადგ: 120-130 (საუზმე )","სტანდარული-180ლ დელუქსი-200ლ. ლუქსი-250ლ. საოჯახო-300ლ(საუზმით) ",,,
"ყაზბეგი /Kazbegi",,სასტუმრო,"ყაზბეგის ქ.  №15 / Kazbegi St. №15","574 99 99 85",,veli.tpur@mail.ru,,,,,,,"Wi-Fi,საუზმე,ნომერი შეზღუდული შესაძლებლობის პირისთვის,ლიფტი",,რესტორანი,"დახურული აუზი,სოლარიუმი",,"არ აქვთ",3,28,50,,,"ერთ/ორ ადგ: 60-70 (საუზმე )","ერთ ადგ/ორ ადგ: 90 საუმზით","მარინა დავითაძე -574 99 99 85 ",,
წერეთელი/Tsereteli,,სასტუმრო,"გორგილაძის ქ. №3 / Gorgiladzen St. №3","(0422) 27 66 84 /0422 27 58 73 / 558 09 80 80 ",,tsereteli@gmail.com,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე",,ბარი,,"საკონფერენციო დარბაზი","არ აქვთ",3,12,27,,,"ერთ/ორ ადგ: 60-80","ერთ/ორ ადგ:150 საუზმით","გიორგი წერეთელი -558 09 80 80 ",,
"ძველი ბათუმი / Dzveli Batumi",,სასტუმრო,"კოსტავას ქ.  №24 / Kostava St. №24","(0422) 27 71 57 /593 33 34 14",,batgts@yahoo.com,,,,,,,,,,,"ზღვასთან ახლოს","არ აქვთ",3,5,10,,,"ერთ/ორ ადგ: 50-70 (საუზმე)","ერთ ადგ:80 /ორ ადგ:100",,"გოჩა მესხი -593 33 34 14",
"ძველი ქალაქი / Dzveli Qalaqi",,სასტუმრო,"გორგასლის ქ.  №1 / Gorgiladze St.  №1","(0422) 22 49 59 /577 45 84 71",,oldtown2014@mail.ru/www.oldtown.ge,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,საუზმე,არამწეველთა ოთახები,ტრანსფერი,ლიფტი",,რესტორანი,,"ზღვასთან ახლოს,ბიზნეს შეხვედრების ორგანიზება,საკონფერენციო დარბაზი","არ აქვთ",3,20,50,,,"ერთ/ორ ადგ: 80-95","ერთ ადგ:50/ ორ ადგ:100","რეზო არძენაძე -577 45 84 71",,
"ჯე ( გე) - ბაკური / Ge Bakuri",,სასტუმრო,"ბარათაშვილის ქ.  №23 / Baratashvili St. №23 ","(0422) 27 47 88",,hotelbakuri@yahoo.com,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,შინაური ცხოველები დაშვებულია,არამწეველთა ოთახები,ნომერი შეზღუდული შესაძლებლობის პირისთვის,ლიფტი",,,"ღია აუზი","კერძო პლიაჟი,ზღვასთან ახლოს","არ აქვთ",3,29,40,,,"ერთ/ორ ადგ: 50","ერთ / ორ ადგ: 80 საუზმით","მაია ბერიძე -577 12 52 09",,
"ჯუბა / Juba",,სასტუმრო,"გრიბოედოვის ქ.  №8 / Griboedovi St. №8","(0422) 27 52 28",,,,,,,,,Wi-Fi,,,,,"არ აქვთ",,,3,,,"ერთ/ორ ადგ: 20- 30",,"ჯუმბერ დევაძე  -579 99 96 30",,5
"გალოგრე / Galogre",,სასტუმრო,"გორგასალის ქ. №8 / Gorgasali St. №8","(0422) 27 48 45",,"info@hotelgalogre.com / www.hotelgalogre.com",,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,არამწეველთა ოთახები",,,,"ზღვასთან ახლოს,საკონფერენციო დარბაზი","არ აქვთ",4,34,70,,,"ერთ ადგ: 100, ორ ადგ: 130","ერთ/ორ ადგ: 180","ასია ტატევოსიანი - 597 17 15 10","დავით მახარაძე",
"გლობუსი / Globus",,ჰოსტელი,"მაზნიაშვილის ქ. №54 / Mazniashvili St. №54","593 28 99 49 / (0422) 27 67 21 ",,,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,ტრანსფერი,ნომერი შეზღუდული შესაძლებლობის პირისთვის",,,,,,,20,70,,,"ერთი ადგ. 15",25-50,"რუსუდან ჭიჭინაძე - 593 28 99 49",,
"გოლდენ პალასი / Golden Palace",,სასტუმრო,"გამსახურდიას ქ. №8 / Gamsakhurdia St. №8","(0422) 21 25 30",,"info@goldenpalacebatumi.com / www.goldenpalace.com",,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,არამწეველთა ოთახები,ტრანსფერი",კაზინო,"რესტორანი,კაფე,ბარი,ბუფეტი",საუნა,"საკონფერენციო დარბაზი","არ აქვთ",4,51,88,,,"ერთ ადგ: 70$,  ორ ადგ: 80$-100$ (საუზმით)","ერთ / ორ ადგ: 120-170$","ვიკტორია გრისტიუკი",,
"გრანდ პალასი / Grand Palace",,სასტუმრო,"გურამიშვილის ქ. №74 (ბაგრატიონის კვეთა) / Guramishvili St. №74  ","555 12 11 13 / 593 45 06 10",,grandpalace2015@gmail.com,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,ტრანსფერი,ლიფტი",,,,,"არ აქვთ",3,28,60,,,"ერთ ადგ: 50, ორ ადგ: 60","ერთ ადგ: 80, ორ ადგ: 100","ზვიად ბერიძე - 555 12 11 13",,
"გოლდენ ფიში / Golden Fish ",,სასტუმრო,"ზუბალაშვილის ქ. №13 / Zubalashvili St. №13","(0422) 27 87 06",,goldenfish2017@mail.ru,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი",,,,,"არ აქვთ",,12,25,,,"ერთ/ორ ადგ: 60","ერთ/ორ ადგ: 130"," ქეთი აბდულიში  - 574 01 39 20",,
"გამა / Gama",,სასტუმრო,"ანგისა ქ. №35 / Angisa St. №35","(0422) 24 46 29 / 558 02 69 69 / 593 66 58 90",,"info@hotelgama.ge / hotelgama@mail.ru/ www.hotelgama.ge",,,,,,,"Wi-Fi,პარკინგი,საუზმე,არამწეველთა ოთახები",,კაფე,,"ზღვასთან ახლოს","არ აქვთ",2,8,18,,,"ერთ ადგ: 60, ორ ადგ: 80","ერთ ადგ: 70-80, ორ ადგ: 120","გაგა მამულაძე - 593 66 58 90",,
"გენაცვალე / Genatsvale",,სასტუმრო,"აეროპორტის გზატკეცილი №122 / Airport Av. №122","595 41 59 77 ",,,,,,,,,"Wi-Fi,პარკინგი",,,"ღია აუზი",,"არ აქვთ",2,31,70,,,"ერთ ადგ: 60, ორ ადგ: 70","ერთ ადგ: 150, ორ ადგ: 200-250","თეიმურაზ აბესლამიძე - 599 24 10 61",,
"დავითი / David",,სასტუმრო,"ბარათაშვილის ქ. №33 / Baratashvili St. №33","(0422) 27 17 18",,"hoteldavidbairam@gmail.com / www.hoteldavid.ge",,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,შინაური ცხოველები დაშვებულია,ტრანსფერი,ექსკურსიები",,,,"ზღვასთან ახლოს,ბიზნეს შეხვედრების ორგანიზება,საკონფერენციო დარბაზი","არ აქვთ",4,12,36,,,"ერთ / ორ ადგ: 80","ერთ / ორ ადგ: 190","ზვიად ფუტკარაძე - 555 34 06 63",,
"ჰილტონი / Hilton",,სასტუმრო,"ნინოშვილის ქ.  №35 / Ninoshvili str   №35 ","(0422) 22 22 99 /  591 44 45 86",,"Irina.minashvili@hilton.com  / www.infobatumi.hilton.com",,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,ტრანსფერი,ლიფტი",კაზინო,"რესტორანი,ბარი","დახურული აუზი,სპა,საუნა,მასაჟი,ფიტნესი,სოლარიუმი","ზღვასთან ახლოს,ბიზნეს შეხვედრების ორგანიზება,საკონფერენციო დარბაზი",,5,250,400,,,"ერთ/ორ ადგ: 160$-182$-საუზმით","ერთ/ორ ადგ: 160$ - 182$-საუზმით","ირინა მინაშვილი ","სტუარტ ნილსონი",
"ერზურუმ / ERZRUM",,სასტუმრო,"ლ.ასათიანის ქ. №108 / Asatiani St. №108","(0422) 27 78 48 / 599 44 48 37 ",,,,,,,,,,,,,,,1,13,30,,,,,"მაყვალა ანთაძე","იოსებ წულუკიძე",
"ელიო ინნ / ELIO IN",,სასტუმრო,"მელიქიშვილის ქ. №32 / Meliqishvili St. №32","592 29 29 39",,hotelelioinn@gmail.com,,,,,,,,,ბუფეტი,,,,,20,45,,,,,დავითი,,
ვეგა/Vega,,სასტუმრო,"ანგისა ქ. №88ა / Angisa St. № 88a","597 82 28 22 / (0422) 22 55 11",,hotelvega@mail.ru,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე",,ბარი,,,"საპრეზიდენტო  ნომერი არა აქვთ",2,17,34,,,"ერთ/ორ ადგ: 80 ლ","ერთ ადგ:100-120, ორ ადგ:140 ლ","თენგიზ ლომინაძე-597822822",,
"ვენტურა/Ventura          ",,სასტუმრო,"გრიბოედოვის ქ. №45-50 / Griboedovi St. №45-50","558 25 95 22 / (0422) 27 19 88",,hotelventura@mail.ru,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,ტრანსფერი",,რესტორანი,ჰამამი,"ზღვასთან ახლოს","&quot;საპრეზიდენტო  ნომერი არა აქვთ&quot;",,19,80,,,,"ერთ ადგ: 80 ორ ადგ: 110 საუზმით","გვანცა ხაზიური - 555931983",,
ვერონა/Verona,,სასტუმრო,"ნოე ჟორდანიას ქ. №17 /Noe Zhordania St. №17","592 87 23 44",,"www.hotelverona-batumi.com / batumiverona@gmail.com",,,,,,,Wi-Fi,,,,,"საპრეზიდენტო  ნომერი არა აქვთ",2,5,10,,,"ერთ ადგ:50 ორ ადგ: 60","ერთ ადგ:90 ორ ადგ:100","ალექსი სემელიანი - 592 87 23 44",,
ვიზიტი/Viziti,,სასტუმრო,"ოსტროვის ქ. №110 /Ostrovi St. №110"," 568 60 00 04 / (0422) 22 61 30",,batumi@1980@mail.ru,,,,,,,"Wi-Fi,პარკინგი,საუზმე,შინაური ცხოველები დაშვებულია,ტრანსფერი",,კაფე,,"ზღვასთან ახლოს","საპრეზიდენტო  ნომერი არა აქვთ",2,12,60,,,"ერთ ადგ:50 ორ ადგ: 60","ერთ ადგ:80 ორ ადგ:120","გიორგი თავდგირიძე - 599 33 93 94",,
"ვინდამ ბათუმი / Wyndham",,სასტუმრო,"მემედ აბაშიძის ქ. №33 / Memed Abashidze St. №33","(0422) 22 22 00",,"wyndhambatumi.com / info@wyndhambatumi.com",,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,არამწეველთა ოთახები,ტრანსფერი,ნომერი შეზღუდული შესაძლებლობის პირისთვის,ლიფტი","ღამის კლუბი,კაზინო","რესტორანი,კაფე,ბარი,ბუფეტი","დახურული აუზი,სპა,საუნა,მასაჟი,ფიტნესი","ზღვასთან ახლოს,ბიზნეს შეხვედრების ორგანიზება,საკონფერენციო დარბაზი","ერთი საპრეზიდენტო  ნომერი",5,164,350,,,"ერთ ადგ:160$ ორ ადგ: 180$","ერთ ადგ:100$- ორ ადგ:140$",,,
ვიქტორია/Victoria,,სასტუმრო,"ჰაიდარ აბაშიძის ქ. №49 / Haidar Abashidze St. №49","597 01 01 47 / 0790 57 80 57 ",,,,,,,,,"Wi-Fi,საუზმე",,,,,"საპრეზიდენტო  ნომერი არა აქვთ",,25,40,,,"ერთ ადგ: 50 ორ ადგ: 70","ერთ ადგ:70 ორ ადგ: 100","ოთარ მამალაძე",,
"ვორლდ პალასი/World palace",,სასტუმრო,"მელაშვილის ქ. №1/3 / Melashvili St. №1/3","571 70 46 46 / (0422) 22 57 90",,"www.batumiworldpalace.com /  info@batumiworldpalace.com ",,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,საუზმე,არამწეველთა ოთახები,ექსკურსიები,ლიფტი",,რესტორანი,,"კერძო პლიაჟი,ზღვასთან ახლოს,საკონფერენციო დარბაზი","სამი საპრეზიდენტო  ნომერი. ფასი:  155-180$",5,30,75,,,"ერთ ადგ: 60$ ორ ადგ: 70$","ერთ/ორ ადგ: 110$- საუზმით","ნათია ომიაძე, სოფო გაბელაია",,
"ბათუსი / BATUSI",,სასტუმრო,"ჯავახიშვილის ქ. .№4ა / Javakhishvili St. №4a","577 25 03 03 / (0422)  25 03 03 / 574 30 00 90 /  593 02 03 32",,"info@batus.ge / batus.ge",,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,საუზმე","ბილიარდი,კარაოკე",კაფე,,,,2,18,36,,,,,"ბაჩო მიქელაძე",,
ვიტალი/Vitali,,სასტუმრო,"პუშკინის ქ. №29 / Pushkini St. №29","557 37 77 96",,,,,,,,,Wi-Fi,,,,,"საპრეზიდენტო  ნომერი არა აქვთ",,5,10,,,"ერთ ადგ:30 ორ ადგ: 50","ერთ/ორ ადგ: 40-60","ვიტალი ბერიძე",,
"ვორლდ ინ ბათუმი/World in Batumi",,ჰოსტელი,"ლერმონტოვის ქ. №10 / Lermontov St. №10","555 44 50 04 / 555 44 60 04",,,,,,,,,Wi-Fi,,,,,,,10,25,,,"ერთ ადგ:20 ორ ადგ: 30","ერთ/ორ ადგ: 25-50",,,
"თემური / Temuri",,სასტუმრო,"შერიფ ხიმშიაშვილის ქ. №28 ბ / Sherif Khimshiashvili Str. №28 B","557 44 70 20 / 593 26 15 84 ",,,,,,,,,"Wi-Fi,პარკინგი","ჩოგბურთის კორტები",კაფე,,,,,,19,,,"ერთ ადგ: 50 ორ ადგ: 80","ორ/სამ ადგ: 100-130 ","მიქელაძე თემური - 593261584 ",,54
"სპუტნიკი / Sputnik",,სასტუმრო,"ბათუმგორა / Batumgora","(0422) 29 41 15 /  557 73 51 77 ",,"www.hotel-sputnik.com / info@hotel-sputnik.com",,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,შინაური ცხოველები დაშვებულია",,რესტორანი,"დახურული აუზი",,,4,152,250,,,"ერთ ადგ:50$ ორ ადგ: 60$",,"ეკა ტყაველაშვილი  - 577 65 08 08","ჰუსეინ თათლისუ",
" თბილისი / Tbilisi",,სასტუმრო,"ქართველ იუნკერთა ქ. №4 / Georgian Junkers Str. №4","571 77 27 77 /  574 07 73 40 / 598 70 26 70 ",,,,,,,,,"Wi-Fi,პარკინგი,საუზმე,შინაური ცხოველები დაშვებულია",,რესტორანი,"საუნა,მასაჟი,სოლარიუმი","საკონფერენციო დარბაზი",,2,17,50,,,"ერთ ად:30 ორ ადგ:40","ერთ/ორ ადგ: 50","ვახტანგ კახიძე - 571772777",,
"კლასი /  Class",,სასტუმრო,"ტბელ აბუსერიძის ქ. №13 /  Tbel Abuseridze Str. №13 ","593 73 29 23",,,,,,,,,,,კაფე,,,,2,9,20,,,"ერთ ადგ: 50 ორ ადგ:70","ერთ/ორ ადგ: 70-80","ირინა მარგარიანი",,"მუშაობს მხოლოდ სპორტსმენებზე"
"თანჯერინ / Tangerine",,სასტუმრო,"კობალაძის ქ.  №4 / Kobaladze Str. №4","(0422) 20 01 91 ",,"www.tangerine-hotel.com / reservation@tangerine-hotel.com",,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,ტრანსფერი",,"რესტორანი,კაფე",,,,,,,,,,"ერთ/ორ ადგ: 40$",,,
"თოკა + / Toka +",,სასტუმრო,"გამსახურდიას ქ. № 47 / Gamsakhurdia Str. № 47 ","593 56 94 34",,,,,,,,,,,,,,,,,,,,,,,,
"თემო / Temo",,სასტუმრო,"შ. ხიმშიაშვილის ქ. №  28ბ / Sh. Khimshiashvili Str. №  28B","593 26 15 84",,,,,,,,,,,,,,,,50,,,,,,,,სეზონურია
"თიჯი+ / Tj+",,სასტუმრო,"ლ.ასათიანის  ქ. №12 / L. Asatiani Str. №12","577 14 14 43",,,,,,,,,"Wi-Fi,პარკინგი,შინაური ცხოველები დაშვებულია",,,,,,,,,,,"ერთ ადგ:15-20 ორ ადგ: 20-40","ერთ/ორ ადგ: 40/50",,,
"ილიკო / Iliko",,სასტუმრო,"კ.გამსახურდიას ქ. №42 / K. Gamsakhurdia Str.  №42","(0422) 27 38 92 / 599 67 31 27",,hoteliliko@mail.ru,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,საუზმე,შინაური ცხოველები დაშვებულია",,,,,,3,18,50,,,"ერთ ადგ:40 ორ ადგ: 80","ერთ ადგ:70 ორ ადგ:120","ილია ზოიძე",,
"ინტერნაციონალი / International ",,სასტუმრო,"ლერმონტოვის ქ. №10 / Lermontov Str. №10","(0422) 22 73 51",,,,,,,,,Wi-Fi,,,,"ზღვასთან ახლოს",,2,17,38,,,"ერთ ადგ:50 ორ ადგ: 80","ერთ ადგ:100 ორ ადგ: 120","ჯემალ ბერიძე - 574 22 07 88 ",,
"ინტურისტ  პალასი / Intourist Palace",,სასტუმრო,"ნინოშვილის ქ. №11 / Ninoshvili Str. №11","(0422) 27 55 25 ",,"www.intouristpalace.com / info@intouristpalace.com",,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,არამწეველთა ოთახები,ველო გაქირავება,ექსკურსიები",,"რესტორანი,ბარი","დახურული აუზი,ღია აუზი,სპა,საუნა,ჰამამი,სოლარიუმი","კერძო პლიაჟი,ზღვასთან ახლოს,ბიზნეს შეხვედრების ორგანიზება,საკონფერენციო დარბაზი","ერთი საპრეზიდენტო  ნომერი.  ფასი: 1500 $",5,138,300,,,"ერთ ადგ:90$ ორ ადგ: 100$ (საუზმით)","ერთ/ორ ადგ: 150-180$ (საუზმით)","მარინა ბლაგიძე - 577947720",,
"დუტა / Duta",,სასტუმრო,"ფიროსმანის ქ. №6 / Firosmani St. №6","599 51 76 76  / (0422) 27 21 08",,"info@duta.ge / www.duta.ge",,,,,,,"Wi-Fi,საუზმე","მაგიდის ტენისი",,,,"არ აქვთ",2,14,30,,,"ერთ / ორადგ: 70","ერთ / ორ ადგ: 80-100","თემურ კახიძე  - 599 51 76 76",,
"დაისი - სანსეტ ჰოტელ / Daisi - Sunset Hotel",,სასტუმრო,"ფალიაშვილის ქ. №12 / Paliashvili St. №12","(0422) 27 77 76 / 595 16 87 87",,"info@daisi-sunset.com / www.daisi-sunset.com",,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,შინაური ცხოველები დაშვებულია,ნომერი შეზღუდული შესაძლებლობის პირისთვის",,კაფე,,"ზღვასთან ახლოს","არ აქვთ",3,19,45,,,"ერთ ადგ: 60,  ორ ადგ: 80",,"ზურაბ დიასამიძე - 599 16 87 87 ",,
"დელფინი / Dolphin",,სასტუმრო,"ლეონიძის ქ. №8ა / Leonidze St. №8a","(0422) 24 03 54 / 599 11 94 95 ",,,,,,,,,"Wi-Fi,პარკინგი,საუზმე,შინაური ცხოველები დაშვებულია,ტრანსფერი",,კაფე,,,"არ აქვთ",2,14,36,,,"ერთ / ორ ადგ: 50","ერთ / ორ ადგ: 70-80","ზაზა მიქელაძე - 558 41 44 88",,
